1,"221 W BEN ST","NEW CARLISLE","IN","46552"
2,"1016 NOTRE DAME","SOUTH BEND","IN","46617"
3,"51895 FOXDALE LN","GRANGER","IN","46530"
4,"2506 SOLOMON AV AV","SOUTH BEND","IN","46615"
5,"1231 PORTAGE","SOUTH BEND","IN","46628"
6,"103 TUXEDO","SOUTH BEND","IN","46615"
7,"701 N GERNHART ST","MISHAWAKA","IN","46544"
8,"1719 LASALLE","SOUTH BEND","IN","46617"
9,"539 NORTH SHORE","SOUTH BEND","IN","46617"
10,"402 VICTORIA","SOUTH BEND","IN","46614"
11,"106 VARSITY DR","SOUTH BEND","IN","46615"
12,"15217 DURHAM WAY E","GRANGER","IN","46530"
13,"56537 WINDSOR DRIVE","SOUTH BEND","IN","46619"
14,"50786 PHEASANT COVE DR","GRANGER","IN","46530"
15,"28286 ST RD 23","NORTH LIBERTY","IN","46554"
16,"609 RIVERSIDE","SOUTH BEND","IN","46601"
17,"51818 CRESSWELL DR","SOUTH BEND","IN","46628"
18,"409 N MAIN","NORTH LIBERTY","IN","46554"
19,"51218 HEATHERTON CT","GRANGER","IN","46530"
20,"60700 LILAC RD","SOUTH BEND","IN","46614"
21,"2136 WILLOW LAKE DR","MISHAWAKA","IN","46545"
22,"16444 FOXCROSS DR","GRANGER","IN","46530"
23,"307 E 16TH ST","MISHAWAKA","IN","46544"
24,"52101 GOLDENROD LN","GRANGER","IN","46530"
25,"605 BERLIN","MISHAWAKA","IN","46544"
26,"114 WAKEWA","SOUTH BEND","IN","46617"
27,"441 N OAKLAND","MISHAWAKA","IN","46544"
28,"51891 WATERFORD GREEN DRIVE","GRANGER","IN","46530"
29,"24125 LAYTON","SOUTH BEND","IN","46614"
30,"1808 ELIZABETHAN CT","SOUTH BEND","IN","46614"
31,"702 BUGLE LN","MISHAWAKA","IN","46544"
32,"53181 FLICKER LN","SOUTH BEND","IN","46637"
33,"1003 LINCOLNWAY EAST","MISHAWAKA","IN","46544"
34,"1103 EBELING DR","SOUTH BEND","IN","46615"
35,"15724 WAGON WHEEL N","GRANGER","IN","46530"
36,"12265 DUNN RD","MISHAWAKA","IN","46545"
37,"55327 BUTTERNUT","SOUTH BEND","IN","46628"
38,"3221 S ST JOSEPH ST","SOUTH BEND","IN","46614"
39,"23267 ADAMS RD","SOUTH BEND","IN","46628"
40,"17377 WOODHURST RD","GRANGER","IN","46530"
41,"818 E CALVERT","SOUTH BEND","IN","46613"
42,"58670 ELM RD","MISHAWAKA","IN","46544"
43,"11505 WILKINS MILL DR","GRANGER","IN","46530"
44,"3004 SALEM DR","SOUTH BEND","IN","46615"
